t,roll,pitch,yaw,aroll,apitch,ax,ay,az,lax,lay,laz
0.814999,4.374943,8.42758053,15.0392225,4.9239778,7.85047796,-1.33156,0.828927,9.6217,-1.53629966,0.851979031,9.63614092
0.819999,4.32443646,8.49086911,15.1150174,1.25648864,8.12480826,-1.47341,0.226313,10.3182,-1.52430727,0.732671194,9.76620231
0.824999,4.25727667,8.56158598,15.1897512,3.06582381,11.5799806,-1.93176,0.504214,9.41403,-1.60200416,0.689106845,9.6990468
0.829999,4.19449251,8.65651884,15.2763212,1.43829804,10.886763,-1.89308,0.24706,9.83977,-1.65750922,0.604813228,9.72588122
0.834999,4.15616359,8.7519767,15.3702145,3.63220487,7.56162666,-1.28044,0.611071,9.62635,-1.58560614,0.606006518,9.70690168
0.839999,4.14173638,8.83917003,15.47191,4.33881781,9.64029729,-1.65319,0.736314,9.70472,-1.59849366,0.630854765,9.70648565
0.844999,4.1270211,8.91422126,15.5710891,3.93024463,8.81411829,-1.49914,0.66267,9.64536,-1.57954798,0.636921591,9.69482964
0.849999,4.09970419,8.98351006,15.6557136,2.75211895,11.2057415,-1.86693,0.452481,9.41286,-1.63434866,0.601750738,9.64106104
0.854999,4.06170411,9.03695222,15.7326733,2.39455829,6.05240994,-1.03256,0.40688,9.72995,-1.51959399,0.564590967,9.65801122
0.859999,4.02017026,9.06620147,15.8127073,4.26422583,11.2944054,-1.92353,0.71614,9.60456,-1.59662027,0.593489751,9.64781864
0.864999,3.97931815,9.09211546,15.8978515,5.35835492,8.35664699,-1.40526,0.893363,9.52468,-1.56012991,0.65067238,9.62433742
0.869999,3.93080771,9.11218277,15.9799637,1.50668827,7.8280032,-1.3639,0.26085,9.91722,-1.52271096,0.576337411,9.680187
0.874999,3.88707554,9.13622673,16.0606475,6.1408508,11.1952703,-1.91122,1.03299,9.60114,-1.59679549,0.663416188,9.66511358
0.879999,3.85688477,9.18110356,16.1483816,1.96822083,10.2415865,-1.66097,0.315735,9.18757,-1.60903288,0.597117095,9.57405111
0.884999,3.81637001,9.23912451,16.2471389,2.33979702,8.90116282,-1.49828,0.390562,9.55857,-1.58791349,0.557729242,9.57109903
0.889999,3.77063677,9.27074089,16.3467633,2.99051043,5.86860541,-0.990098,0.502538,9.61948,-1.47391645,0.547204861,9.58032477
0.894999,3.72875112,9.27583191,16.4412002,3.95634963,9.10892817,-1.52727,0.65723,9.50286,-1.48409041,0.568185481,9.56555306
0.899999,3.68223351,9.28444041,16.5310783,2.52520206,9.48004549,-1.59694,0.421352,9.55411,-1.50560962,0.540185903,9.56337099
0.904999,3.64152857,9.29776802,16.6224052,5.3959295,8.33396219,-1.37267,0.881172,9.3289,-1.48025945,0.605208314,9.51865988
0.909999,3.63830388,9.3022581,16.7263073,6.78321778,6.42458845,-1.12979,1.18508,9.9632,-1.41342867,0.715783657,9.60342893
0.914999,3.65540004,9.30494791,16.8342355,4.24068126,10.1768602,-1.74206,0.717608,9.67788,-1.47609516,0.71613154,9.61762596
0.919999,3.67915557,9.31067544,16.9394042,5.42691181,7.97901542,-1.38535,0.934745,9.83924,-1.45879102,0.757818794,9.65988539
0.924999,3.71523744,9.31680024,17.0442551,4.58967471,8.35003871,-1.38386,0.754451,9.39813,-1.44450248,0.757176592,9.60997143
0.929999,3.7446568,9.33083631,17.1446547,2.84861554,9.50534539,-1.65961,0.492587,9.89951,-1.48552119,0.70672218,9.66518335
0.934999,3.73761321,9.35029545,17.2320361,1.45792914,10.5665099,-1.84726,0.251955,9.89955,-1.55450092,0.620002931,9.70987457
0.939999,3.71754528,9.3745863,17.3165715,5.86220199,11.4655241,-1.93424,0.974019,9.48659,-1.62691311,0.687510018,9.66729658
0.944999,3.70270572,9.40809274,17.4052008,3.333769,9.54557412,-1.57306,0.543988,9.33869,-1.6166439,0.6601419,9.60463481
0.949999,3.66966601,9.46370681,17.4880826,1.92244687,12.5494536,-2.14041,0.322568,9.61007,-1.7165205,0.595770159,9.60567125
0.954999,3.6175886,9.51735238,17.5695254,1.78442956,7.59194855,-1.31262,0.306664,9.84341,-1.63950099,0.540640699,9.65100549
0.959999,3.55916149,9.55044489,17.6639176,2.91477285,7.25722774,-1.26234,0.504071,9.89999,-1.56758041,0.533667248,9.69848418
0.964999,3.52026225,9.56173228,17.7654519,4.48813196,7.99152955,-1.39105,0.775363,9.87808,-1.53391795,0.579756049,9.73273119
0.969999,3.49937181,9.57769985,17.8633787,6.06594564,11.4207907,-2.03894,1.06657,10.0366,-1.63022026,0.672586276,9.79067573
0.974999,3.48913162,9.60536187,17.9594646,4.22342973,7.38393482,-1.29368,0.735186,9.95559,-1.56604563,0.684523375,9.82212312
0.979999,3.49355381,9.62170637,18.0595052,4.43031089,7.70562383,-1.28989,0.736405,9.5047,-1.51338569,0.694416647,9.76159392
0.984999,3.50270086,9.62762109,18.156674,4.26179854,7.49493397,-1.27036,0.71757,9.62924,-1.46704329,0.698831745,9.73635544
0.989999,3.50173427,9.64376731,18.2441342,2.23874246,13.6003936,-2.31437,0.373688,9.55887,-1.62861945,0.636830302,9.70251086
0.994999,3.47786063,9.67562679,18.3206987,2.33765242,8.50904678,-1.49758,0.408281,10.0014,-1.60363163,0.593248388,9.75950583
