t,x,y,theta,x_i,y_i,theta_i
197.700237,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154371
197.709097,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153851
197.709209,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153844
197.712742,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153605
197.716077,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38153381
197.719995,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38154523
197.724944,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155967
197.727991,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156146
197.732472,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815641
197.735997,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156617
197.743418,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156561
197.744765,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815655
197.747965,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157854
197.752382,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159653
197.757209,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159202
197.760052,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158936
197.764693,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158501
197.768,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157226
197.772921,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155329
197.777244,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155468
197.780151,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155561
197.784538,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155702
197.788557,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157776
197.794723,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38160961
197.797221,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38160488
197.80028,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159909
197.813872,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157329
197.814627,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157351
197.815341,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157371
197.816884,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157996
197.821697,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159946
197.824377,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38161032
197.828067,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38160488
197.832058,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159899
197.836812,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815855
197.840644,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157462
197.844184,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156457
197.849269,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156804
197.852028,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156993
197.856793,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157319
197.860049,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157847
197.864072,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.381585
197.869046,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157849
197.872384,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157412
197.876507,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156872
197.880065,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156974
197.884153,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815709
197.889634,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157718
197.892351,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815803
197.896397,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158495
197.900049,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158167
197.904128,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157802
197.911672,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815637
197.913911,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38155945
197.916258,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.381555
197.921737,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38156863
197.924916,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157654
197.928751,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158915
197.932191,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38160047
197.93626,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38161384
197.941776,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159253
197.944167,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815833
197.948685,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158245
197.95205,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158182
197.956018,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158108
197.961003,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159754
197.964028,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38160754
197.968518,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38160473
197.973493,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38160162
197.978374,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159858
197.980797,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159194
197.983991,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38158319
197.98869,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159138
197.992149,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38159741
197.996093,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38160429
198.000721,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38160618
198.00411,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38160757
198.013268,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.38157986
198.013421,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815794
198.016032,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815715
198.0207,5.00040016,0.00915707036,1.44234945,5.00071892,-0.0251891648,1.3815733
