time_s,dpx,dpy,px,py,theta
149.068,0,0,0.000177673,-1.33721e-07,0.00175914
149.071,3.08844e-07,-2.66034e-07,0.000177982,-1.34189e-07,0.0017622
149.09,2.07614e-06,-1.78836e-06,0.000180058,-1.37341e-07,0.00178276
149.09,4.36529e-08,-3.7602e-08,0.000180102,-1.37408e-07,0.00178319
149.09,1.92882e-08,-1.66146e-08,0.000180121,-1.37437e-07,0.00178338
149.09,1.50978e-08,-1.30051e-08,0.000180136,-1.37461e-07,0.00178353
149.092,2.22598e-07,-1.91743e-07,0.000180359,-1.37803e-07,0.00178573
149.095,6.16581e-07,-5.31114e-07,0.000180975,-1.38751e-07,0.00179184
149.099,2.04102e-07,-1.75811e-07,0.000181179,-1.39066e-07,0.00179386
149.103,2.0035e-07,-1.72579e-07,0.00018138,-1.39376e-07,0.00179584
149.108,2.77435e-07,-2.38979e-07,0.000181657,-1.39805e-07,0.00179859
149.111,1.64991e-07,-1.42121e-07,0.000181822,-1.4006e-07,0.00180022
149.115,2.21728e-07,-1.90994e-07,0.000182044,-1.40404e-07,0.00180242
149.119,9.68171e-07,-8.33969e-07,0.000183012,-1.41907e-07,0.001812
149.127,2.32946e-06,-2.00656e-06,0.000185342,-1.45543e-07,0.00183507
149.129,2.16954e-07,-1.86881e-07,0.000185559,-1.45886e-07,0.00183721
149.131,2.09367e-07,-1.80346e-07,0.000185768,-1.46218e-07,0.00183929
149.135,3.97103e-07,-3.42059e-07,0.000186165,-1.46847e-07,0.00184322
149.139,1.08404e-06,-9.33776e-07,0.000187249,-1.48568e-07,0.00185395
149.143,1.102e-06,-9.49247e-07,0.000188351,-1.50328e-07,0.00186486
149.147,6.94009e-07,-5.9781e-07,0.000189045,-1.51443e-07,0.00187173
149.151,4.78496e-07,-4.1217e-07,0.000189524,-1.52214e-07,0.00187647
149.156,7.75599e-07,-6.6809e-07,0.000190299,-1.53468e-07,0.00188415
149.16,7.39981e-07,-6.3741e-07,0.000191039,-1.54669e-07,0.00189148
149.163,5.38231e-07,-4.63625e-07,0.000191577,-1.55546e-07,0.00189681
149.167,9.359e-07,-8.06172e-07,0.000192513,-1.57075e-07,0.00190607
149.171,6.80349e-07,-5.86043e-07,0.000193194,-1.58192e-07,0.00191281
149.175,8.27237e-07,-7.1257e-07,0.000194021,-1.59555e-07,0.001921
149.18,2.62171e-07,-2.2583e-07,0.000194283,-1.59989e-07,0.0019236
149.183,1.5967e-07,-1.37537e-07,0.000194443,-1.60253e-07,0.00192518
149.187,1.68474e-06,-1.45121e-06,0.000196127,-1.63047e-07,0.00194186
149.191,1.47922e-06,-1.27418e-06,0.000197607,-1.65521e-07,0.0019565
149.195,1.35279e-06,-1.16528e-06,0.000198959,-1.67801e-07,0.0019699
149.2,5.27339e-07,-4.54243e-07,0.000199487,-1.68696e-07,0.00197512
149.203,3.40544e-07,-2.9334e-07,0.000199827,-1.69275e-07,0.00197849
149.209,1.55711e-06,-1.34127e-06,0.000201384,-1.71929e-07,0.00199391
149.211,4.73809e-07,-4.08132e-07,0.000201858,-1.72743e-07,0.0019986
149.215,1.02086e-06,-8.79352e-07,0.000202879,-1.745e-07,0.00200871
149.219,6.48114e-07,-5.58276e-07,0.000203527,-1.75622e-07,0.00201512
149.223,4.80366e-07,-4.13781e-07,0.000204008,-1.76456e-07,0.00201988
149.227,6.84977e-07,-5.90029e-07,0.000204693,-1.77647e-07,0.00202666
149.232,8.62745e-07,-7.43157e-07,0.000205555,-1.79153e-07,0.0020352
149.235,4.8946e-07,-4.21614e-07,0.000206045,-1.80012e-07,0.00204005
149.24,1.35543e-06,-1.16755e-06,0.0002074,-1.82393e-07,0.00205347
149.243,9.31939e-07,-8.02759e-07,0.000208332,-1.84042e-07,0.0020627
149.247,1.01396e-06,-8.73413e-07,0.000209346,-1.85843e-07,0.00207274
149.252,1.27749e-06,-1.10041e-06,0.000210624,-1.88124e-07,0.00208538
